Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,GIDTR
0.37866056,0.4777718,1.1626958,-1.7917535,-0.5208894,-0.8664271,-1.6833937,-0.32497245,-0.017435627,-1.0151372,53033007001
1.3988838,-5.184893,-2.861675,-7.4418263,-2.157338,-5.5266147,-0.7958186,2.5213506,13.996941,2.23443,53033007002
1.5380052,10.795719,-1.9607294,-2.3799856,0.20722927,1.1275814,1.7654492,5.147057,-1.990468,10.366876,53033007101
0.33558032,5.4873495,-3.8766406,-3.8536565,-0.59841293,-3.4503217,0.12151639,5.4285693,-1.4369558,2.364824,53033007102
0.29946467,9.175556,-5.3913283,-7.106014,-5.7262244,-5.2227554,-0.41860658,5.846751,30.522196,6.879177,53033007201
12.36036,15.297612,27.849497,-2.8085756,0.8741202,-1.9325967,5.335702,10.042049,60.575344,17.030079,53033007202
-0.93926126,6.9426208,-4.597194,-6.504888,-1.453012,-1.9430851,-4.9653907,4.7247744,25.181427,10.490708,53033007203
5.0166297,6.704721,-2.4387085,-3.1423247,0.6756466,-1.4597327,2.135691,12.278646,-2.3838716,21.324625,53033007301
7.0732183,16.742208,19.710537,-1.6189449,2.2364044,13.167035,6.1591754,9.029177,52.839256,18.851109,53033007302
-0.25212154,9.397152,-2.9067988,-7.216915,-0.9042665,-1.1411239,1.4956744,5.389197,28.547358,8.16176,53033007303
6.9220943,5.497082,-1.0985601,-1.630521,3.8541152,-1.6148958,1.3010473,13.23803,-2.8131213,14.945679,53033007403
4.629683,6.5757756,-0.06259674,-2.8506644,2.8956864,-1.0283847,1.5017099,12.220974,-2.9226274,19.249657,53033007404
3.117416,3.1133072,11.577154,1.7273774,-2.1941593,-0.7352061,-6.029903,9.0405,-3.8134532,23.643373,53033007405
6.4619384,6.100177,-0.2386328,-4.009657,0.100713,-1.3688483,2.8412704,13.810441,-1.1346954,17.470444,53033007406
